Timestamp,Era_Step,Source,Target,Relationship_Type,Weight,Location_ID
32 BBY,t1,Anakin,Obi-Wan,Master/Padawan,0.7,LOC_1
32 BBY,t1,Anakin,Palpatine,Acquaintance,0.2,LOC_5
32 BBY,t1,Anakin,Padmé,Friend,0.5,LOC_2
32 BBY,t1,Obi-Wan,Palpatine,Political_Ally,0.2,LOC_5
22 BBY,t5,Anakin,Obi-Wan,Mentor/Brother,0.9,LOC_1
22 BBY,t5,Anakin,Padmé,Lover,1.0,LOC_2
22 BBY,t5,Anakin,Palpatine,Patron/Advisor,0.5,LOC_5
22 BBY,t5,Anakin,Ahsoka,Master/Padawan,0.8,LOC_1
22 BBY,t5,Obi-Wan,Palpatine,Political_Ally,0.4,LOC_5
20 BBY,t8,Anakin,Ahsoka,Master/Padawan,0.9,LOC_5
20 BBY,t8,Anakin,Dooku,Enemy,-0.8,LOC_3
20 BBY,t8,Obi-Wan,Dooku,Enemy,-0.7,LOC_3
20 BBY,t8,Ahsoka,Palpatine,Distant_Acquaintance,0.1,LOC_5
19 BBY,t11,Palpatine,Anakin,Manipulation,1.0,LOC_5
19 BBY,t11,Anakin,Mace_Windu,Conflict,-0.7,LOC_1
19 BBY,t11,Anakin,Obi-Wan,Enemy,-0.9,LOC_3
19 BBY,t11,Anakin,Padmé,Tragic_Conflict,-0.5,LOC_3
19 BBY,t11,Anakin,Palpatine,Master/Sith,1.0,LOC_3
19 BBY,t11,Obi-Wan,Palpatine,Enemy,-1.0,LOC_5
0 BBY,t14,Vader,Palpatine,Master/Servant,0.6,LOC_5
0 BBY,t14,Vader,Obi-Wan,Enemy,-1.0,LOC_6
0 BBY,t14,Vader,Ahsoka,Enemy,-0.8,LOC_5
3 ABY,t15,Vader,Luke,Enemy/Pursuer,-0.7,LOC_7
3 ABY,t15,Palpatine,Luke,Target_Interest,0.5,LOC_5
4 ABY,t16,Vader,Luke,Father/Son,0.8,LOC_4
4 ABY,t16,Vader,Palpatine,Betrayal,-1.0,LOC_4
4 ABY,t16,Luke,Palpatine,Enemy,-0.9,LOC_4
